		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1023.984375	M = 524288	N = 8	m = 9	n = 4194304
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  177  159  152  163  163  158  171  179 5959.631631 0.000000 FAILURE   0
000000011  272  251  248  262  270  243  279  282 4676.493784 0.000000 FAILURE   1
000000101  260  286  262  267  279  273  255  285 4584.194667 0.000000 FAILURE   2
000000111  415  418  424  404  400  436  461  389 2967.353127 0.000000 FAILURE   3
000001001  271  263  261  281  257  274  213  267 4708.804263 0.000000 FAILURE   4
000001011  443  450  385  432  447  405  408  418 2917.630179 0.000000 FAILURE   5
000001101  405  424  396  445  436  439  459  418 2875.825191 0.000000 FAILURE   6
000001111  688  645  628  631  645  718  656  693 1060.579547 0.000000 FAILURE   7
000010001  262  253  247  263  269  247  247  267 4755.833556 0.000000 FAILURE   8
000010011  393  426  421  441  406  413  405  421 2991.036302 0.000000 FAILURE   9
000010101  401  423  411  404  439  443  406  412 2975.354895 0.000000 FAILURE  10
000010111  637  680  631  648  660  632  655  618 1162.618468 0.000000 FAILURE  11
000011001  406  385  446  406  418  405  452  453 2939.115501 0.000000 FAILURE  12
000011011  653  653  653  681  645  690  612  632 1120.286965 0.000000 FAILURE  13
000011101  628  628  632  649  640  676  647  635 1181.651991 0.000000 FAILURE  14
000011111 1012 1005 1033  994 1053 1066 1048 1039  4.943247 0.763624 SUCCESS  15
000100011  426  415  380  398  439  378  402  451 3040.098771 0.000000 FAILURE  16
000100101  435  386  460  470  429  408  414  411 2889.068342 0.000000 FAILURE  17
000100111  639  700  672  675  616  661  639  623 1117.244731 0.000000 FAILURE  18
000101001  384  436  415  421  444  418  409  392 3000.976486 0.000000 FAILURE  19
000101011  678  663  645  648  689  640  668  646 1075.014049 0.000000 FAILURE  20
000101101  671  674  637  643  686  624  633  665 1109.042963 0.000000 FAILURE  21
000101111 1015 1024 1024 1005  985 1007 1004 1000  3.256568 0.917240 SUCCESS  22
000110011  633  638  692  629  663  630  673  642 1134.055052 0.000000 FAILURE  23
000110101  660  675  661  637  640  641  678  610 1132.321782 0.000000 FAILURE  24
000110111 1017 1028 1005 1021  981 1031 1023 1010  2.553159 0.959206 SUCCESS  25
000111001  652  684  712  674  644  651  622  677 1049.777906 0.000000 FAILURE  26
000111011 1057 1027 1034 1011 1049 1027 1011  987  3.575097 0.893284 SUCCESS  27
000111101 1034 1014  976 1023 1021  987 1058  958  9.486082 0.302962 SUCCESS  28
000111111 1613 1614 1605 1568 1598 1637 1587 1601 2710.914869 0.000000 FAILURE  29
001000011  458  414  384  413  412  400  417  388 3042.513828 0.000000 FAILURE  30
001000101  394  420  407  421  402  420  424  411 3023.565753 0.000000 FAILURE  31
001000111  641  633  656  641  638  629  648  634 1192.004042 0.000000 FAILURE  32
001001011  701  600  661  652  619  674  639  701 1104.287849 0.000000 FAILURE  33
001001101  597  660  695  687  687  579  659  646 1135.600823 0.000000 FAILURE  34
001001111  996 1033  990 1020  982 1006  984 1056  6.813228 0.556912 SUCCESS  35
001010011  614  670  673  635  639  640  656  612 1180.496561 0.000000 FAILURE  36
001010101  585  659  636  613  639  655  681  678 1178.855368 0.000000 FAILURE  37
001010111  997 1001 1087 1021 1028 1018 1035 1022  5.468215 0.706559 SUCCESS  38
001011011 1024 1054  983  961 1028  994  995 1031  8.436555 0.392028 SUCCESS  39
001011101 1038 1002 1016 1056 1034 1051 1044 1064  4.647003 0.794552 SUCCESS  40
001011111 1562 1563 1617 1638 1558 1558 1597 1554 2513.424465 0.000000 FAILURE  41
001100101  606  677  659  658  691  656  649  688 1072.784977 0.000000 FAILURE  42
001100111  935 1033 1039 1042 1011  988 1033 1016 10.260640 0.247207 SUCCESS  43
001101011 1029 1031 1082 1014 1055 1010 1057 1004  6.249308 0.619328 SUCCESS  44
001101101 1031 1006 1002 1040 1008 1065  971 1017  5.966037 0.651036 SUCCESS  45
001101111 1615 1603 1622 1570 1604 1597 1639 1576 2715.196782 0.000000 FAILURE  46
001110101 1015  984 1025 1057 1008  997  989 1014  5.129074 0.743696 SUCCESS  47
001110111 1590 1620 1626 1567 1619 1574 1558 1568 2596.549055 0.000000 FAILURE  48
001111011 1614 1643 1529 1639 1619 1601 1618 1574 2734.289049 0.000000 FAILURE  49
001111101 1622 1562 1630 1667 1617 1592 1548 1687 2844.746372 0.000000 FAILURE  50
001111111 2562 2478 2525 2448 2520 2590 2539 2519 18162.963291 0.000000 FAILURE  51
010000011  420  415  414  440  402  436  416  436 2925.998582 0.000000 FAILURE  52
010000111  671  638  624  675  653  644  675  654 1107.126833 0.000000 FAILURE  53
010001011  636  643  676  634  635  637  609  641 1200.824970 0.000000 FAILURE  54
010001111  996 1025 1001  984  983 1030  992 1039  5.934914 0.654522 SUCCESS  55
010010011  630  694  641  647  632  622  614  649 1188.738670 0.000000 FAILURE  56
010010111 1004  944 1026 1111  954  992 1030 1077 23.374055 0.002916 FAILURE  57
010011011  991 1024 1041 1042 1035  952  987 1019  8.482672 0.387795 SUCCESS  58
010011111 1626 1610 1594 1602 1574 1609 1683 1560 2758.820015 0.000000 FAILURE  59
010100011  677  685  654  670  611  621  663  635 1123.306063 0.000000 FAILURE  60
010100111 1007 1068 1045 1004 1052 1021 1051  983  6.333556 0.609923 SUCCESS  61
010101011  961 1011 1007  952 1015 1021 1089 1038 14.261555 0.075198 SUCCESS  62
010101111 1526 1537 1587 1567 1611 1591 1610 1585 2476.064838 0.000000 FAILURE  63
010110011 1003 1039  984 1012 1072 1043 1008 1004  5.788039 0.670961 SUCCESS  64
010110111 1644 1580 1559 1561 1644 1584 1577 1647 2687.082704 0.000000 FAILURE  65
010111011 1634 1614 1602 1598 1631 1646 1566 1612 2806.816385 0.000000 FAILURE  66
010111111 2369 2417 2525 2487 2502 2505 2417 2489 16775.477748 0.000000 FAILURE  67
011000111 1043 1044 1024 1046 1001 1020 1027  991  2.917300 0.939440 SUCCESS  68
011001111 1568 1618 1532 1573 1637 1562 1621 1563 2545.979863 0.000000 FAILURE  69
011010111 1598 1573 1608 1551 1632 1544 1628 1583 2593.095362 0.000000 FAILURE  70
011011111 2556 2553 2466 2401 2498 2489 2520 2501 17574.921719 0.000000 FAILURE  71
011101111 2523 2552 2508 2514 2438 2503 2489 2502 17699.047382 0.000000 FAILURE  72
011111111 3857 3947 3845 3942 3882 3981 3932 3922 67485.036744 0.000000 FAILURE  73
100000000  177  159  152  163  163  158  171  179 5959.631631 0.000000 FAILURE  74
100010000  256  287  229  259  276  266  276  241 4703.750823 0.000000 FAILURE  75
100100000  275  259  274  264  269  253  250  257 4684.814806 0.000000 FAILURE  76
100101000  420  435  438  421  391  377  430  374 3043.659282 0.000000 FAILURE  77
100110000  413  424  445  441  421  433  449  414 2852.441921 0.000000 FAILURE  78
100111000  654  675  623  672  699  684  624  725 1024.185229 0.000000 FAILURE  79
101000000  269  263  274  265  280  280  263  224 4660.333525 0.000000 FAILURE  80
101000100  450  440  405  402  415  397  420  404 2983.486018 0.000000 FAILURE  81
101001000  418  376  410  395  425  424  428  420 3028.744446 0.000000 FAILURE  82
101001100  658  645  634  669  659  668  631  677 1101.463417 0.000000 FAILURE  83
101010000  399  391  430  412  421  413  408  415 3036.169478 0.000000 FAILURE  84
101010100  645  643  652  657  620  643  679  616 1167.319289 0.000000 FAILURE  85
101011000  680  745  665  647  676  578  688  594 1095.870488 0.000000 FAILURE  86
101011100 1006 1000 1094 1025  998 1006 1036 1047  7.550128 0.478600 SUCCESS  87
101100000  466  404  398  432  421  433  422  383 2953.664617 0.000000 FAILURE  88
101100100  595  652  639  638  640  655  641  612 1231.917679 0.000000 FAILURE  89
101101000  673  637  659  660  688  676  639  679 1050.354516 0.000000 FAILURE  90
101101100  973 1025  994  994 1072  980 1028  994  9.650381 0.290427 SUCCESS  91
101110000  669  648  662  645  646  625  615  635 1174.422003 0.000000 FAILURE  92
101110100 1036 1020  978 1055 1065 1031 1007 1062  6.769636 0.561679 SUCCESS  93
101111000 1045 1035 1025 1027 1038  998 1006 1061  3.170046 0.923237 SUCCESS  94
101111100 1582 1680 1554 1601 1570 1561 1550 1614 2592.859850 0.000000 FAILURE  95
110000000  281  250  261  253  248  240  275  304 4670.482830 0.000000 FAILURE  96
110000010  476  423  379  417  434  392  389  362 3065.472982 0.000000 FAILURE  97
110000100  412  449  408  437  391  411  437  453 2905.163828 0.000000 FAILURE  98
110001000  367  433  366  404  421  394  444  421 3089.553095 0.000000 FAILURE  99
110001010  619  690  652  658  662  604  650  691 1117.209409 0.000000 FAILURE 100
110010000  435  408  415  419  420  405  394  379 3054.577117 0.000000 FAILURE 101
110010010  661  615  645  628  563  648  650  666 1233.683462 0.000000 FAILURE 102
110010100  644  669  684  584  629  648  671  617 1178.978600 0.000000 FAILURE 103
110011000  620  653  665  672  659  672  685  665 1065.133683 0.000000 FAILURE 104
110011010 1071 1005 1045 1021 1075 1032 1022 1054  6.659756 0.573747 SUCCESS 105
110100000  393  399  409  455  443  453  403  421 2932.801517 0.000000 FAILURE 106
110100010  672  637  646  627  667  635  644  697 1115.325539 0.000000 FAILURE 107
110100100  645  651  626  650  669  648  652  669 1124.006883 0.000000 FAILURE 108
110101000  660  655  669  643  635  638  608  656 1160.146845 0.000000 FAILURE 109
110101010 1021  995 1023  996  996 1009 1087  976  9.004263 0.341936 SUCCESS 110
110101100  992 1090 1011 1026 1057  959 1039  987 12.585892 0.126914 SUCCESS 111
110110000  672  642  683  626  681  651  667  611 1110.319731 0.000000 FAILURE 112
110110010  997 1052 1019  985 1059 1031 1032  968  7.607546 0.472713 SUCCESS 113
110110100 1032 1020 1121 1068 1075 1029 1020 1059 15.453790 0.050900 SUCCESS 114
110111000 1000 1020 1040 1006  994 1028  975  981  6.397350 0.602815 SUCCESS 115
110111010 1599 1603 1578 1579 1651 1650 1537 1591 2677.387502 0.000000 FAILURE 116
110111100 1645 1646 1599 1568 1597 1646 1579 1678 2878.978727 0.000000 FAILURE 117
111000000  422  422  414  403  421  424  405  462 2934.355968 0.000000 FAILURE 118
111000010  650  687  633  663  654  653  666  664 1079.657262 0.000000 FAILURE 119
111000100  617  649  669  633  648  642  674  644 1150.793689 0.000000 FAILURE 120
111000110  981 1046 1073 1027  914 1014 1024  983 18.808020 0.015921 SUCCESS 121
111001000  692  641  677  665  628  646  619  600 1161.221719 0.000000 FAILURE 122
111001010 1004 1014 1050 1008  978  981 1030  987  6.866290 0.551125 SUCCESS 123
111001100  952 1038 1037 1056 1002 1027 1048 1055  8.690627 0.369063 SUCCESS 124
111010000  638  647  643  683  643  670  641  671 1105.302653 0.000000 FAILURE 125
111010010 1031 1032  999 1098  999 1043 1006 1006  7.927969 0.440538 SUCCESS 126
111010100 1047 1023 1039 1014 1014 1041 1030 1004  1.697603 0.988921 SUCCESS 127
111010110 1626 1586 1574 1544 1662 1511 1594 1613 2593.255747 0.000000 FAILURE 128
111011000 1019 1070 1011 1020 1038 1063 1016  969  7.204484 0.514740 SUCCESS 129
111011010 1586 1616 1626 1646 1624 1546 1629 1672 2862.785387 0.000000 FAILURE 130
111011100 1603 1563 1635 1606 1600 1613 1549 1516 2559.932736 0.000000 FAILURE 131
111100000  624  670  648  636  655  677  620  695 1116.333619 0.000000 FAILURE 132
111100010  993 1070 1018 1004 1015  969 1059 1097 13.307104 0.101711 SUCCESS 133
111100100 1020 1007 1035 1062 1007 1010 1010  991  3.675191 0.885176 SUCCESS 134
111100110 1619 1605 1583 1599 1604 1640 1659 1667 2896.334850 0.000000 FAILURE 135
111101000 1044  986 1023 1010 1029 1034 1021 1057  3.297350 0.914336 SUCCESS 136
111101010 1602 1573 1577 1600 1565 1635 1627 1508 2562.704516 0.000000 FAILURE 137
111101100 1637 1645 1541 1630 1633 1627 1667 1559 2858.835703 0.000000 FAILURE 138
111101110 2496 2485 2512 2465 2518 2554 2509 2445 17565.354042 0.000000 FAILURE 139
111110000  972 1024 1006 1048  988 1056 1016 1061  7.430652 0.490959 SUCCESS 140
111110010 1544 1557 1597 1618 1565 1583 1545 1507 2369.374876 0.000000 FAILURE 141
111110100 1622 1593 1563 1636 1612 1650 1648 1603 2837.186839 0.000000 FAILURE 142
111110110 2467 2503 2498 2485 2531 2462 2513 2531 17580.119888 0.000000 FAILURE 143
111111000 1559 1584 1628 1599 1555 1621 1657 1690 2806.088796 0.000000 FAILURE 144
111111010 2529 2492 2490 2465 2534 2536 2541 2507 17891.797919 0.000000 FAILURE 145
111111100 2497 2433 2492 2476 2445 2541 2503 2534 17380.581347 0.000000 FAILURE 146
111111110 3857 3947 3845 3942 3882 3981 3932 3922 67485.036744 0.000000 FAILURE 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1023.984375	M = 524288	N = 8	m = 9	n = 4194304
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  154  159  176  183  146  148  182  166 5974.427338 0.000000 FAILURE   0
000000011  265  262  269  276  272  244  276  269 4635.856220 0.000000 FAILURE   1
000000101  250  255  249  258  259  261  272  259 4743.181284 0.000000 FAILURE   2
000000111  433  391  459  434  403  382  437  453 2914.707073 0.000000 FAILURE   3
000001001  265  277  301  314  254  240  253  283 4557.383177 0.000000 FAILURE   4
000001011  436  450  390  421  425  415  433  448 2880.176580 0.000000 FAILURE   5
000001101  430  407  393  371  454  412  406  413 3043.061302 0.000000 FAILURE   6
000001111  679  646  644  639  590  653  701  683 1112.170299 0.000000 FAILURE   7
000010001  229  236  276  254  234  260  243  259 4856.728506 0.000000 FAILURE   8
000010011  434  412  444  439  400  422  382  407 2975.505431 0.000000 FAILURE   9
000010101  403  434  437  425  376  432  416  429 2960.622982 0.000000 FAILURE  10
000010111  670  703  637  663  678  623  720  703 994.276422 0.000000 FAILURE  11
000011001  412  396  449  405  420  392  407  427 3014.039775 0.000000 FAILURE  12
000011011  666  667  616  568  704  680  687  644 1119.823739 0.000000 FAILURE  13
000011101  649  622  636  669  640  666  640  663 1143.536397 0.000000 FAILURE  14
000011111 1013 1023  969 1026  995 1074 1148 1067 23.960450 0.002327 FAILURE  15
000100011  382  372  455  401  429  411  403  439 3037.035229 0.000000 FAILURE  16
000100101  445  437  447  421  388  439  377  436 2916.436302 0.000000 FAILURE  17
000100111  640  663  646  678  626  621  594  671 1182.427874 0.000000 FAILURE  18
000101001  399  418  404  428  416  408  363  416 3083.866290 0.000000 FAILURE  19
000101011  636  646  626  655  621  674  666  636 1163.146719 0.000000 FAILURE  20
000101101  698  650  675  679  638  653  671  674 1030.944257 0.000000 FAILURE  21
000101111 1034 1106 1014 1002 1036 1085 1057 1081 15.775728 0.045705 SUCCESS  22
000110011  645  606  679  606  700  665  685  623 1132.929074 0.000000 FAILURE  23
000110101  663  636  655  611  658  658  655  655 1139.126486 0.000000 FAILURE  24
000110111 1022 1062 1004  925 1069 1018 1043 1002 14.700539 0.065237 SUCCESS  25
000111001  658  659  647  687  649  640  608  649 1135.906473 0.000000 FAILURE  26
000111011 1019  972  982  986  996 1059 1028 1048  8.621025 0.375267 SUCCESS  27
000111101 1039  999  979 1033 1009 1004  982 1024  5.395109 0.714631 SUCCESS  28
000111111 1634 1525 1592 1647 1574 1642 1627 1552 2687.691700 0.000000 FAILURE  29
001000011  413  388  411  403  410  445  425  431 2991.678727 0.000000 FAILURE  30
001000101  401  382  401  418  402  419  404  445 3058.640659 0.000000 FAILURE  31
001000111  658  639  688  645  653  634  633  657 1127.207799 0.000000 FAILURE  32
001001011  673  671  656  704  607  628  645  628 1127.982704 0.000000 FAILURE  33
001001101  642  649  712  694  629  692  673  674 1014.802685 0.000000 FAILURE  34
001001111 1022 1047 1039 1067 1033 1023  939 1030 10.050760 0.261481 SUCCESS  35
001010011  602  690  663  677  681  633  609  652 1132.743152 0.000000 FAILURE  36
001010101  620  647  694  694  628  667  643  666 1091.558935 0.000000 FAILURE  37
